epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0415,0.77266,1.98691,2.13247,1.35053,0.80925,0.79885,0.84722,0.68072,0.80885,0.79528,0.84059,0.61149,0.65001,2.09287,1.76152,1.56183,0.000546984,0.000546984,0.000546984
2,51.7548,0.66239,1.29078,1.34843,1.25026,0.91879,0.88149,0.9389,0.7861,0.91879,0.88149,0.93748,0.7191,0.65513,2.112,1.39517,1.49811,0.00108082,0.00108082,0.00108082
3,71.3252,0.65687,1.26199,1.25665,1.23431,0.62375,0.58947,0.51356,0.41562,0.60169,0.5748,0.50222,0.39975,0.75699,1.435,2.5589,1.63392,0.00159265,0.00159265,0.00159265
4,92.2026,0.66838,1.21499,1.12848,1.2504,0.82176,0.91858,0.93113,0.77694,0.89348,0.82079,0.919,0.73399,0.63417,1.50887,1.58036,1.44626,0.00156798,0.00156798,0.00156798
5,111.633,0.63059,1.07256,0.9899,1.21757,0.88516,0.77746,0.89352,0.76038,0.89285,0.78608,0.89486,0.7353,0.67866,1.52013,1.24576,1.37836,0.00153497,0.00153497,0.00153497
6,147.16,0.6137,0.9966,0.95604,1.21684,0.94764,0.92759,0.95916,0.83478,0.9442,0.92402,0.95436,0.80837,0.5499,1.17528,0.75489,1.31468,0.00150197,0.00150197,0.00150197
7,165.851,0.59504,1.09186,0.83869,1.20504,0.98526,0.95347,0.97718,0.88332,0.97995,0.94844,0.9718,0.85781,0.4837,1.03294,0.70976,1.20745,0.00146896,0.00146896,0.00146896
8,185.094,0.57063,1.08094,0.821,1.16227,0.96094,0.91759,0.95624,0.85533,0.94112,0.89905,0.92965,0.79663,0.55758,1.45404,0.70719,1.30676,0.00143595,0.00143595,0.00143595
9,202.79,0.53987,1.05428,0.70152,1.14379,0.93787,0.92571,0.97704,0.85613,0.93234,0.92066,0.96672,0.84055,0.54775,1.31913,0.63106,1.3337,0.00140295,0.00140295,0.00140295
10,220.584,0.56371,1.05245,0.67952,1.16754,0.98558,0.90386,0.97097,0.84657,0.97075,0.89018,0.95614,0.83199,0.64457,1.44467,0.85129,1.40162,0.00136994,0.00136994,0.00136994
11,237.994,0.55349,1.01799,0.67304,1.16021,0.97128,0.95264,0.97155,0.8754,0.95722,0.93904,0.95644,0.88461,0.48909,0.88983,0.57075,1.25897,0.00133693,0.00133693,0.00133693
